ed_map_for_viz,Trump,Biden,vote_differences,total_value,trump_pct,biden_pct,vote_counts_pct
77046,69,357,-288,863,7.995365005793744,41.36732329084589,-33.371958285052145
77047,64,446,-382,1035,6.183574879227053,43.091787439613526,-36.908212560386474
77048,81,398,-317,967,8.376421923474664,41.15822130299897,-32.7817993795243
77049,28,214,-186,490,5.714285714285714,43.673469387755105,-37.95918367346939
77050,57,441,-384,1006,5.666003976143141,43.836978131212724,-38.17097415506959
77051,53,434,-381,977,5.424769703172978,44.42169907881269,-38.996929375639716
77052,6,45,-39,102,5.88235294117647,44.11764705882353,-38.23529411764706
77053,68,562,-494,1275,5.333333333333334,44.07843137254902,-38.745098039215684
77054,74,430,-356,1018,7.269155206286837,42.23968565815324,-34.9705304518664
77055,54,461,-407,1042,5.182341650671785,44.241842610364685,-39.0595009596929
77056,50,486,-436,1081,4.6253469010175765,44.95837187789084,-40.33302497687326
77057,59,457,-398,1046,5.640535372848948,43.69024856596558,-38.04971319311663
77058,55,637,-582,1398,3.934191702432046,45.56509298998569,-41.63090128755365
77059,46,288,-242,676,6.804733727810651,42.60355029585799,-35.79881656804734
77060,50,347,-297,805,6.211180124223603,43.1055900621118,-36.8944099378882
77061,28,156,-128,378,7.4074074074074066,41.269841269841265,-33.86243386243386
77062,54,506,-452,1136,4.753521126760563,44.54225352112676,-39.7887323943662
77063,65,343,-278,823,7.897934386391252,41.67679222357229,-33.77885783718104
77064,10,146,-136,316,3.1645569620253164,46.20253164556962,-43.037974683544306
77065,73,464,-391,1089,6.703397612488522,42.6078971533517,-35.90449954086318
77066,11,43,-32,108,10.185185185185185,39.81481481481482,-29.629629629629633
77067,45,319,-274,738,6.097560975609756,43.22493224932249,-37.12737127371274
77068,53,474,-421,1070,4.953271028037383,44.299065420560744,-39.34579439252336
77070,0,0,0,0,0.0,0.0,0.0
77071,103,551,-448,1320,7.803030303030304,41.74242424242424,-33.93939393939394
77072,44,425,-381,955,4.607329842931937,44.50261780104712,-39.89528795811518
77074,79,513,-434,1192,6.62751677852349,43.03691275167785,-36.40939597315436
77075,59,317,-258,755,7.81456953642384,41.98675496688742,-34.17218543046358
77076,71,420,-349,988,7.186234817813765,42.51012145748988,-35.32388663967612
77077,29,230,-201,525,5.523809523809524,43.80952380952381,-38.285714285714285
77078,86,482,-396,1153,7.458803122289679,41.803989592367735,-34.345186470078055
77079,50,289,-239,683,7.320644216691069,42.313323572474374,-34.9926793557833
77080,43,216,-173,518,8.301158301158301,41.6988416988417,-33.397683397683394
77081,53,356,-303,823,6.439854191980558,43.256379100850545,-36.81652490886999
77082,22,197,-175,443,4.966139954853273,44.46952595936794,-39.50338600451467
78001,46,405,-359,910,5.054945054945055,44.505494505494504,-39.450549450549445
78002,30,279,-249,628,4.777070063694268,44.42675159235669,-39.64968152866242
78003,87,434,-347,1057,8.230842005676443,41.05960264900662,-32.82876064333018
78004,22,240,-218,531,4.143126177024483,45.19774011299435,-41.05461393596987
78005,75,366,-291,890,8.426966292134832,41.12359550561798,-32.69662921348315
78006,99,605,-506,1432,6.91340782122905,42.2486033519553,-35.33519553072625
78007,32,137,-105,348,9.195402298850574,39.36781609195402,-30.172413793103445
78008,97,514,-417,1243,7.803700724054706,41.3515687851971,-33.547868061142395
78009,43,320,-277,736,5.842391304347826,43.47826086956522,-37.63586956521739
78010,61,435,-374,1012,6.027667984189724,42.984189723320156,-36.95652173913043
78011,48,382,-334,897,5.351170568561873,42.58639910813824,-37.23522853957637
78012,66,337,-271,820,8.048780487804878,41.09756097560975,-33.048780487804876
78013,91,626,-535,1479,6.152805949966194,42.32589587559162,-36.173089925625426
78014,87,551,-464,1299,6.697459584295612,42.41724403387221,-35.71978444957659
78015,82,368,-286,909,9.02090209020902,40.484048404840486,-31.463146314631466
78016,81,441,-360,1057,7.663197729422895,41.72185430463576,-34.058656575212865
78017,56,183,-127,480,11.666666666666666,38.125,-26.458333333333336
78018,100,480,-380,1164,8.59106529209622,41.23711340206185,-32.64604810996563
78019,111,378,-267,1004,11.055776892430279,37.64940239043825,-26.593625498007967
78020,57,482,-425,1092,5.21978021978022,44.13919413919414,-38.91941391941392
78021,83,402,-319,976,8.504098360655737,41.18852459016394,-32.6844262295082
78022,85,419,-334,1032,8.236434108527131,40.60077519379845,-32.36434108527132
78023,69,364,-295,881,7.832009080590238,41.316685584563,-33.48467650397276
78024,68,363,-295,865,7.8612716763005785,41.96531791907515,-34.10404624277457
78025,127,543,-416,1356,9.365781710914455,40.04424778761062,-30.678466076696168
78026,84,606,-522,1414,5.9405940594059405,42.857142857142854,-36.916548797736915
78027,84,586,-502,1365,6.153846153846154,42.93040293040293,-36.776556776556774
78028,60,367,-307,867,6.920415224913495,42.32987312572088,-35.40945790080738
78029,94,492,-398,1183,7.945900253592561,41.58918005071851,-33.64327979712595
78030,73,326,-253,804,9.07960199004975,40.547263681592035,-31.467661691542283
78031,94,468,-374,1131,8.311229000884174,41.37931034482759,-33.06808134394341
78032,85,401,-316,986,8.620689655172415,40.66937119675456,-32.04868154158215
78033,129,618,-489,1518,8.49802371541502,40.71146245059288,-32.21343873517786
78034,80,399,-319,966,8.281573498964804,41.30434782608695,-33.02277432712215
78035,35,181,-146,445,7.865168539325842,40.67415730337079,-32.80898876404495
78036,78,490,-412,1153,6.764960971379011,42.497831743278404,-35.73287077189939
78037,13,51,-38,128,10.15625,39.84375,-29.6875
78038,106,515,-409,1261,8.406026962727994,40.840602696272796,-32.434575733544804
78039,32,149,-117,370,8.64864864864865,40.27027027027027,-31.621621621621617
78040,126,546,-420,1350,9.333333333333334,40.44444444444444,-31.111111111111107
78041,135,549,-414,1387,9.733237202595529,39.58183129055515,-29.848594087959622
78042,0,2,-2,4,0.0,50.0,-50.0
78043,41,184,-143,453,9.050772626931568,40.618101545253865,-31.567328918322296
78044,87,464,-377,1120,7.767857142857143,41.42857142857143,-33.660714285714285
78045,78,310,-232,782,9.974424552429667,39.64194373401534,-29.667519181585675
78046,52,288,-236,689,7.547169811320755,41.79970972423803,-34.25253991291727
