ed_map_for_viz,Trump,Clinton,vote_differences,total_value,trump_pct,clinton_pct,vote_counts_pct
77052,5,95,-90,203,2.4630541871921183,46.79802955665024,-44.33497536945812
77053,10,453,-443,940,1.0638297872340425,48.191489361702125,-47.12765957446808
77054,12,490,-478,1021,1.1753183153770812,47.992164544564154,-46.81684622918707
77055,15,520,-505,1081,1.3876040703052728,48.1036077705828,-46.716003700277525
77056,18,469,-451,991,1.8163471241170535,47.32593340060545,-45.5095862764884
77057,22,447,-425,988,2.2267206477732793,45.24291497975709,-43.01619433198381
77058,11,621,-610,1293,0.8507347254447023,48.027842227378194,-47.17710750193349
77059,17,317,-300,687,2.4745269286754,46.142649199417754,-43.66812227074235
77060,23,364,-341,791,2.9077117572692797,46.017699115044245,-43.10998735777496
77061,10,168,-158,368,2.717391304347826,45.65217391304348,-42.93478260869565
77062,7,445,-438,921,0.760043431053203,48.31704668838219,-47.55700325732899
77063,18,543,-525,1131,1.5915119363395225,48.01061007957559,-46.41909814323607
77064,14,148,-134,330,4.242424242424243,44.84848484848485,-40.60606060606061
77065,23,627,-604,1334,1.7241379310344827,47.00149925037481,-45.27736131934033
77066,3,56,-53,120,2.5,46.666666666666664,-44.166666666666664
77067,15,343,-328,722,2.0775623268698062,47.50692520775623,-45.42936288088643
77068,9,371,-362,782,1.1508951406649617,47.44245524296675,-46.29156010230179
77070,0,0,0,0,0.0,0.0,0.0
77071,17,400,-383,842,2.019002375296912,47.50593824228028,-45.486935866983366
77072,22,388,-366,842,2.6128266033254155,46.080760095011875,-43.46793349168646
77073,0,0,0,0,0.0,0.0,0.0
77074,19,379,-360,809,2.3485784919653896,46.84796044499382,-44.499381953028426
77075,16,228,-212,502,3.187250996015936,45.41832669322709,-42.23107569721115
77076,13,265,-252,572,2.272727272727273,46.32867132867133,-44.05594405594405
77077,5,259,-254,531,0.9416195856873822,48.7758945386064,-47.83427495291902
78001,16,604,-588,1256,1.2738853503184715,48.089171974522294,-46.81528662420382
78002,20,617,-597,1291,1.549186676994578,47.79240898528273,-46.243222308288146
78003,33,257,-224,598,5.518394648829431,42.97658862876254,-37.458193979933114
78004,42,568,-526,1249,3.362690152121697,45.476381104883906,-42.11369095276221
78005,51,549,-498,1230,4.146341463414634,44.63414634146341,-40.48780487804878
78006,58,617,-559,1384,4.190751445086705,44.580924855491325,-40.39017341040462
78007,27,134,-107,342,7.894736842105263,39.1812865497076,-31.286549707602337
78008,56,427,-371,1013,5.528134254689043,42.15202369200395,-36.62388943731491
78009,17,360,-343,789,2.1546261089987326,45.627376425855516,-43.47275031685678
78010,20,428,-408,910,2.197802197802198,47.03296703296703,-44.83516483516483
78011,27,429,-402,927,2.912621359223301,46.27831715210356,-43.36569579288026
78012,22,408,-386,866,2.5404157043879905,47.11316397228637,-44.57274826789838
